name;artist;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;duration_ms;time_signature;id;html
Se Eu Quiser Falar Com Deus;Gilberto Gil;0.658;0.259;011;-13.141;0;0.0705;0.694;5.87e-05;0.975;0.306;110.376;;0256213;04;1n7JnwviZ7zf0LR1tcGFq7;https://open.spotify.com/track/1n7JnwviZ7zf0LR1tcGFq7
Saudade De Bahia;Antônio Carlos Jobim;0.742;0.399;02;-12.646;01;0.0346;0.217;1.88e-06;0.107;0.693;125.039;;0191867;04;5QGM1U0eCYrQuwSJwTm5Zq;https://open.spotify.com/track/5QGM1U0eCYrQuwSJwTm5Zq
"""Canta Canta Minha Gente""";Martinho Da Vila;0.851;0.73;02;-11.048;01;0.347;0.453;6.34e-05;0.124;0.905;93.698;;0152267;04;0NLIFSZxPzQhCwnkn5PJYs;https://open.spotify.com/track/0NLIFSZxPzQhCwnkn5PJYs
Mulher Eu Sei;Chico César;0.705;0.0502;04;-18.115;01;0.0471;0.879;4.05e-05;0.386;0.524;106.802;;0186227;04;3mXqOdlLE1k67WsAxryPFs;https://open.spotify.com/track/3mXqOdlLE1k67WsAxryPFs
Rosa Morena;Kurt Elling;0.651;0.119;06;-19.807;01;0.038;0.916;0.000343;0.104;0.402;120.941;;027368;04;7bSzjzjTkWT2CkIPPdp0eA;https://open.spotify.com/track/7bSzjzjTkWT2CkIPPdp0eA
Desafinado;Stan Getz;0.466;0.146;03;-17.5;01;0.0649;0.931;0.154;0.107;0.423;142.885;;0249387;04;5pstSsK0G4q86gdyy1Spqh;https://open.spotify.com/track/5pstSsK0G4q86gdyy1Spqh
Madalena;Maria Gasolina;0.675;0.207;011;-13.82;0;0.0545;0.963;0.414;0.112;0.684;93.531;;0145187;04;33u3dO0JWjerYpFN61J3ug;https://open.spotify.com/track/33u3dO0JWjerYpFN61J3ug
O Meu Amor É Glòria;Sílvia Pérez Cruz;0.504;0.733;07;-10.72;01;0.389;0.696;5.61e-05;0.673;0.886;96.565;;030976;04;0ylJQpV3K4XnhWhLDMFmH7;https://open.spotify.com/track/0ylJQpV3K4XnhWhLDMFmH7
Brigas Nunca Mais;Paula Morelenbaum;0.694;0.546;01;-11.452;01;0.04;0.398;0.076;0.153;0.641;170.032;;0204027;04;1wL2dk42Cxu4zCJs4SvFsZ;https://open.spotify.com/track/1wL2dk42Cxu4zCJs4SvFsZ
Previsao;Bossacucanova;0.674;0.864;01;-7.971;01;0.0382;0.641;0.358;0.139;0.536;99.995;;0181133;04;5iKuMCDh634YGrg2HrhtHp;https://open.spotify.com/track/5iKuMCDh634YGrg2HrhtHp
The Girl From Ipanema;Stan Getz;0.641;0.14;08;-16.79;01;0.039;0.867;0.00166;0.105;0.388;129.318;;0317987;04;4xGFcQEIjtmbPD6Jsxq14M;https://open.spotify.com/track/4xGFcQEIjtmbPD6Jsxq14M
